tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
18,192.168.4.2,44550,192.168.1.143,2113,Jan 21, 2026 14:30:10.827804000 CST,0
18,192.168.1.143,2113,192.168.4.2,44550,Jan 21, 2026 14:30:10.934540000 CST,0
21,192.168.1.143,50433,192.168.4.2,5056,Jan 21, 2026 14:30:11.035186000 CST,0
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.035455000 CST,0
21,192.168.1.143,50433,192.168.4.2,5056,Jan 21, 2026 14:30:11.134175000 CST,0
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.134613000 CST,544
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.135714000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.135714000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.135714000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.135714000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.135714000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.135714000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.135714000 CST,360
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.135779000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.135779000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.135779000 CST,1380
21,192.168.1.143,50433,192.168.4.2,5056,Jan 21, 2026 14:30:11.233203000 CST,0
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.233251000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.233251000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.233251000 CST,1380
21,192.168.1.143,50433,192.168.4.2,5056,Jan 21, 2026 14:30:11.239634000 CST,0
21,192.168.1.143,50433,192.168.4.2,5056,Jan 21, 2026 14:30:11.239634000 CST,0
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.239669000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.239669000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.239669000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.239669000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.239669000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.239669000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.239669000 CST,1380
